,pathway,pval,padj,log2err,ES,NES,size
35,REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,2.10768653860021e-05,0.000531137007727254,0.575610261071129,0.709703561357588,1.91093819633378,58
36,PID_AURORA_B_PATHWAY,2.48250509438994e-05,0.000608213748125536,0.575610261071129,0.777172740648881,1.92802802422352,37
37,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION,3.13315838561335e-05,0.000746877215165128,0.557332238758646,0.630452908211992,1.81444075862833,89
38,REACTOME_HIV_LIFE_CYCLE,3.38580034717631e-05,0.00078586208058145,0.557332238758646,0.575770474398706,1.73052087005036,132
39,REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,3.59875876327427e-05,0.000813873135694334,0.557332238758646,0.629800331266313,1.79330754755342,85
40,REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,5.20252116943897e-05,0.00111917650523053,0.557332238758646,0.67710989158961,1.86440386442865,65
41,REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM,5.20252116943897e-05,0.00111917650523053,0.557332238758646,0.67726660666351,1.86483537516719,65
42,REACTOME_TELOMERE_MAINTENANCE,6.54497662982223e-05,0.00137444509226267,0.538434096309916,0.692390790508038,1.86432206404681,58
43,REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,7.60921696665911e-05,0.00156077427083566,0.538434096309916,0.676680224178561,1.84602531973128,62
44,REACTOME_PEPTIDE_HORMONE_METABOLISM,7.82213032907126e-05,0.00156798157960019,0.538434096309916,-0.625223201353565,-1.76744067585395,84
45,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,8.23359966340974e-05,0.00157948928904378,0.538434096309916,0.578770123119579,1.72559130015519,119
46,REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN,8.23769923991088e-05,0.00157948928904378,0.538434096309916,0.73404306851109,1.8848950028147,44
47,REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,9.30443431158908e-05,0.00174606618357906,0.538434096309916,0.710321256678087,1.87822234745432,53
48,REACTOME_EXTENSION_OF_TELOMERES,0.0001083097777756,0.00199019216662665,0.538434096309916,0.732300249164445,1.89691279205689,45
49,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.000119730424776639,0.0021551476459795,0.538434096309916,0.629724790252678,1.77952303347292,75
50,REACTOME_UCH_PROTEINASES,0.000126320910296907,0.00218460868395827,0.518848077743792,0.608278725450285,1.7389089831964,82
51,WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,0.000125347473949469,0.00218460868395827,0.518848077743792,0.584764993862646,1.73367747933603,111
52,REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,0.000154088180996143,0.00261357260843459,0.518848077743792,0.70267464010299,1.82832697398332,48
53,REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,0.000160533322271378,0.00267151679704445,0.518848077743792,-0.654120885273008,-1.78350373402542,61
54,REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX,0.000166893501591809,0.00272592719266621,0.518848077743792,0.693311457976771,1.82164533627921,51
55,REACTOME_GLUCOSE_METABOLISM,0.00017467551703435,0.00280116010953267,0.518848077743792,0.600050406151448,1.70859694547996,85
56,KEGG_SPLICEOSOME,0.000191810733370722,0.00297914206637604,0.518848077743792,0.582056138692283,1.71078721824903,107
57,REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY,0.000192529589323622,0.00297914206637604,0.518848077743792,0.684220902722334,1.82246529963428,54
58,REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS,0.000212990953129215,0.0032389313906891,0.518848077743792,0.636455607275192,1.77452177278807,70
59,REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,0.000224673869953809,0.00330270588832099,0.518848077743792,0.66990138434924,1.80376739364399,58
60,REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,0.000223813479721319,0.00330270588832099,0.518848077743792,0.637558898644058,1.77691726819003,69
61,REACTOME_DEGRADATION_OF_DVL,0.000228497789117209,0.00330385327871113,0.518848077743792,0.687744576821019,1.82306471123638,55
62,REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS,0.000259711686490333,0.00369460818523345,0.49849310876659,0.741332666755232,1.82557928438298,35
63,PID_FOXM1_PATHWAY,0.000270956420847675,0.00379338989186746,0.49849310876659,0.746150087581182,1.8703789444587,38
64,KEGG_PROTEASOME,0.000286654773569693,0.00395046109825733,0.49849310876659,0.720041720906002,1.83429366352019,42
65,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,0.000308237681301711,0.00418254822935552,0.49849310876659,0.629443208869709,1.76057473560175,72
66,REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,0.000355211447747915,0.00474691661990395,0.49849310876659,0.676867034914742,1.78706141105861,52
67,KEGG_ECM_RECEPTOR_INTERACTION,0.000411585562765225,0.00541818606505863,0.49849310876659,-0.586999339806414,-1.65188968916902,82
68,REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0.000442030793758796,0.00565030666804722,0.49849310876659,0.580948216372654,1.67633850905706,92
69,WP_GLYCOLYSIS_AND_GLUCONEOGENESIS,0.000440251674023189,0.00565030666804722,0.49849310876659,0.71890769593605,1.82335369721827,41
70,REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,0.000465485488937835,0.00586511716061672,0.49849310876659,0.641672299134012,1.73702295998076,59
71,REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,0.000488396647225596,0.00604872607532232,0.477270815362862,-0.562334146301565,-1.63245306085087,101
72,REACTOME_SNRNP_ASSEMBLY,0.000493773557169169,0.00604872607532232,0.477270815362862,0.693448496319659,1.80914320964638,47
73,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,0.000502054874689826,0.00606592328049899,0.477270815362862,0.673016634408426,1.76832158073106,51
74,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.000533332260970053,0.00635674397534577,0.477270815362862,-0.639494425645937,-1.72431049812424,56
75,REACTOME_MITOTIC_PROPHASE,0.000555274370524041,0.00644410519476584,0.477270815362862,0.617508656596544,1.72719337423861,72
76,REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,0.000551942724300897,0.00644410519476584,0.477270815362862,0.623784098626612,1.72662231131381,67
77,REACTOME_REGULATION_OF_INSULIN_SECRETION,0.000597228017186099,0.00675327065587358,0.477270815362862,-0.602722944935597,-1.69016723588668,77
78,WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,0.000594783976290243,0.00675327065587358,0.477270815362862,0.607179089939606,1.71159338051295,74
79,REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,0.000615516736675453,0.00687197166769304,0.477270815362862,0.642352676440317,1.72087229035498,57
80,WP_OXIDATION_BY_CYTOCHROME_P450,0.000648490837720079,0.00714961148586387,0.477270815362862,-0.624935146802833,-1.70392689323991,61
81,REACTOME_ABC_TRANSPORTER_DISORDERS,0.000714396392266016,0.00777898293800773,0.477270815362862,0.592811915039554,1.6752118920184,75
82,WP_G1_TO_S_CELL_CYCLE_CONTROL,0.000835132545048023,0.00898276713088239,0.477270815362862,0.662622140425871,1.75647047146211,55
83,REACTOME_PTEN_REGULATION,0.000857453362029476,0.00911173331698793,0.477270815362862,0.531776952463006,1.59006844725382,124
84,REACTOME_STABILIZATION_OF_P53,0.000920884278875906,0.00966928492819701,0.477270815362862,0.65445867337617,1.74319173460969,54
85,PID_FANCONI_PATHWAY,0.00103449521891921,0.0107344092127852,0.45505986738723,0.699075523926055,1.76962163100945,40
86,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.00107481478580142,0.0110231004776378,0.45505986738723,-0.611846176275078,-1.68397274870863,68
87,PID_E2F_PATHWAY,0.00117562578649286,0.0119184131458242,0.45505986738723,0.61384527636338,1.70783610827459,68
88,WP_PYRIMIDINE_METABOLISM,0.00127532092866235,0.012782193853184,0.45505986738723,0.599731665887307,1.69919692556658,76
89,REACTOME_COMPLEMENT_CASCADE,0.00131094288107791,0.012991591248435,0.45505986738723,-0.633331963836622,-1.70697083296078,55
90,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,0.00134655638847137,0.0131962526070194,0.45505986738723,-0.514724717607169,-1.52972643107684,119
91,KEGG_OOCYTE_MEIOSIS,0.00144068929160318,0.0139636039032308,0.45505986738723,0.546284539717906,1.6110585124111,108
92,WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM,0.00153121460689729,0.0146796878617762,0.45505986738723,0.645051568598751,1.7030623548255,52
93,REACTOME_GLYCOLYSIS,0.00157719439750534,0.0149579081569861,0.45505986738723,0.61015702510843,1.68580393248548,66
94,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,0.00163438333710768,0.0153353840779678,0.45505986738723,0.651489256432205,1.72265952771834,53
95,REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,0.00165609820746652,0.0153755644103734,0.45505986738723,0.592923481696043,1.65314849274633,70
96,REACTOME_DEGRADATION_OF_AXIN,0.00175043291548677,0.0160821024110347,0.45505986738723,0.649630844249031,1.7177455380828,53
97,WP_COMPLEMENT_AND_COAGULATION_CASCADES,0.00181102778841496,0.0164672836018762,0.45505986738723,-0.60708711640566,-1.64240879651905,57
98,REACTOME_PROTEIN_UBIQUITINATION,0.00199464898129594,0.0179518408316634,0.431707695803346,0.628658368174069,1.69271700692988,58
99,PID_HNF3A_PATHWAY,0.00205316177284499,0.0182918048853463,0.431707695803346,-0.653758447245995,-1.69138651072679,43
100,REACTOME_NUCLEOTIDE_EXCISION_REPAIR,0.00211539782193122,0.0186578087894334,0.431707695803346,0.528153328857425,1.55044249053352,105
101,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,0.00214849454139385,0.0187621008466275,0.431707695803346,0.622403385983008,1.66024625018751,56
102,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.00217737236749561,0.0188278669424621,0.431707695803346,-0.613599896915475,-1.66969297762695,59
103,REACTOME_ELASTIC_FIBRE_FORMATION,0.00228588272180702,0.019574257870231,0.431707695803346,-0.668356822926351,-1.73304519852047,44
104,REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,0.00236656093551786,0.01987911185835,0.431707695803346,0.57441933355096,1.61924602680616,74
105,REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,0.00236584744165052,0.01987911185835,0.431707695803346,0.682660455058677,1.69355977061598,37
106,PID_INTEGRIN1_PATHWAY,0.00238999223190913,0.0198865391372061,0.431707695803346,-0.574076279420416,-1.57898068697069,66
107,KEGG_BLADDER_CANCER,0.00248854861260641,0.0204921544624363,0.431707695803346,0.685694092740152,1.72374558715031,39
108,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,0.00250924340356363,0.0204921544624363,0.431707695803346,-0.519957814649921,-1.52512288074199,107
109,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.00255400141123652,0.0206663233459689,0.431707695803346,-0.502507873082368,-1.51710293451055,131
110,REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,0.00287336419898561,0.023039156577321,0.431707695803346,0.598012207935887,1.64661052112783,65
111,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,0.00295521102236864,0.0234819470426049,0.431707695803346,0.635339095794345,1.66932550658696,51
112,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,0.00299342445015506,0.0235732175449711,0.431707695803346,0.544854751463747,1.55759651326978,82
113,REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,0.00305827706705619,0.0238707997623324,0.431707695803346,0.663358083667395,1.68989309117387,42
114,REACTOME_KINESINS,0.00310322400392304,0.0240091541356151,0.431707695803346,0.626241456539266,1.66803340733131,54
115,REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,0.00323760173078678,0.0242820207117503,0.431707695803346,-0.583215387807836,-1.59183954181496,64
116,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.00322182599128869,0.0242820207117503,0.431707695803346,-0.54766330638035,-1.54062505032955,83
117,REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,0.00322561879953816,0.0242820207117503,0.431707695803346,0.631783912412645,1.65541113441914,50
118,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,0.00324861501585774,0.0242820207117503,0.431707695803346,0.537671828564566,1.56098126217016,98
119,REACTOME_AURKA_ACTIVATION_BY_TPX2,0.00355233808491858,0.0263290940411613,0.431707695803346,0.610420218777469,1.64360921290143,58
120,REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,0.00360285749081706,0.0264810025575054,0.431707695803346,0.538569922658596,1.5396298397534,82
121,REACTOME_AMYLOID_FIBER_FORMATION,0.00363300857723641,0.0264819302902687,0.431707695803346,-0.614204678652834,-1.6176276897056,51
122,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.00373198440491547,0.0269804118453725,0.431707695803346,0.523850338853265,1.52537987047789,100
123,REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,0.00383991912442151,0.0274992968844187,0.431707695803346,0.525767742473362,1.5171140709084,92
124,REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE,0.00386611430121079,0.0274992968844187,0.431707695803346,0.669571639145431,1.66108873481566,37
125,WP_OREXIN_RECEPTOR_PATHWAY,0.00392345074211858,0.0276838684363887,0.407017918923954,-0.47607967395274,-1.44848351696142,145
126,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.00400699475430486,0.028048963280134,0.407017918923954,-0.490026443254816,-1.46506734200873,126
127,NABA_COLLAGENS,0.00417450966485525,0.0285491834686056,0.407017918923954,-0.667786004346954,-1.68569938562344,40
128,REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0.00417450966485525,0.0285491834686056,0.407017918923954,-0.667786004346954,-1.68569938562344,40
129,REACTOME_SIGNALING_BY_NOTCH4,0.00417556084744912,0.0285491834686056,0.407017918923954,0.551647876959475,1.56800893711386,79
130,WP_COMPLEMENT_SYSTEM,0.00430014040597914,0.0291747987544123,0.407017918923954,-0.533577567216995,-1.52771100955124,96
131,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0.00454271965393285,0.0305188879303676,0.407017918923954,-0.637194496110354,-1.64853269578462,43
132,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,0.00456745261542917,0.0305188879303676,0.407017918923954,-0.67510756272581,-1.68293070557864,37
133,REACTOME_COLLAGEN_FORMATION,0.0050914083143013,0.0334630506024905,0.407017918923954,-0.549179124320656,-1.54411946857101,78
134,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,0.0051218955003812,0.0334630506024905,0.407017918923954,0.55007747441738,1.56239036937037,77
135,REACTOME_MRNA_SPLICING_MINOR_PATHWAY,0.00506432629478109,0.0334630506024905,0.407017918923954,0.653708072548313,1.665309856988,42
136,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,0.00532698487588392,0.0345470636803649,0.407017918923954,0.543160505133476,1.54606627214745,80
137,REACTOME_METABOLISM_OF_NUCLEOTIDES,0.00545060156055468,0.0350907341343739,0.407017918923954,0.54406765842281,1.55450803587822,83
138,REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,0.00549681123631604,0.0351289501386063,0.407017918923954,-0.488062213269096,-1.42359489890935,105
139,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,0.00553619508987106,0.0351289501386063,0.407017918923954,0.666257434115327,1.6748843604193,39
140,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.00563422993638304,0.0354956485992131,0.407017918923954,0.477774724766939,1.43598737544714,132
141,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.00577125573858162,0.0355320983992902,0.407017918923954,0.50235559287373,1.46644248472146,102
142,REACTOME_ARACHIDONIC_ACID_METABOLISM,0.00576024189175226,0.0355320983992902,0.407017918923954,-0.577373164310641,-1.56202089998593,57
143,REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION,0.00577125573858162,0.0355320983992902,0.407017918923954,-0.634871692007594,-1.62389580472766,42
144,WP_BURN_WOUND_HEALING,0.00580115892233309,0.0355320983992902,0.407017918923954,-0.52434533145737,-1.50493673384188,97
145,KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.00584947833038308,0.035580964740675,0.407017918923954,-0.589872452630321,-1.5898377617125,55
146,WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,0.00590678424907668,0.0356834500526413,0.407017918923954,0.536941901764262,1.52434261470337,78
147,KEGG_OXIDATIVE_PHOSPHORYLATION,0.00595845121945363,0.0357507073167218,0.407017918923954,0.522701227018817,1.51765313938455,95
148,REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS,0.00626217168314976,0.037319158273906,0.407017918923954,0.656444149916069,1.66492843870355,41
149,KEGG_AXON_GUIDANCE,0.00644599465050452,0.0381568273942616,0.407017918923954,-0.482613856414553,-1.4438845050203,127
150,REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,0.00654213543235015,0.0384677563422189,0.407017918923954,0.55598855677803,1.55016907408129,70
151,KEGG_PYRIMIDINE_METABOLISM,0.00673035141028828,0.0387984963651913,0.407017918923954,0.537334034613124,1.54668487218216,90
152,REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,0.00670463294997221,0.0387984963651913,0.407017918923954,-0.673915384033637,-1.66030485500276,36
153,WP_ADIPOGENESIS,0.00673012682697533,0.0387984963651913,0.407017918923954,-0.476380098920119,-1.42426788373914,126
154,REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,0.00693440292750414,0.0393606689318701,0.407017918923954,0.586577944916658,1.5714509623192,57
155,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.00691174377639372,0.0393606689318701,0.407017918923954,0.554997273044214,1.54740524491778,70
156,WP_TGFBETA_RECEPTOR_SIGNALING_IN_SKELETAL_DYSPLASIAS,0.00696175096754165,0.0393606689318701,0.407017918923954,-0.570172765447689,-1.54254099650688,57
157,WP_NUCLEAR_RECEPTORS,0.00719725057050439,0.0404329618037253,0.407017918923954,-0.643479767141928,-1.60695980044106,38
158,REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,0.00745816406996766,0.0416335487956422,0.407017918923954,-0.574113932441491,-1.56207791494226,60
159,WP_DNA_DAMAGE_RESPONSE,0.00760614351580035,0.0421925696914208,0.407017918923954,0.563347207771793,1.55128797999117,64
160,WP_PROTEASOME_DEGRADATION,0.0079041161483781,0.0435714402679343,0.380730400722792,0.585626077986568,1.57684884524599,58
161,REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,0.00820993873471264,0.044976186111904,0.380730400722792,0.599857469062217,1.58374108916591,52
162,REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,0.00862470689549929,0.0469567375421628,0.380730400722792,0.652611052149165,1.61901252019087,37
163,REACTOME_HEDGEHOG_ON_STATE,0.00877857358387366,0.0472115969571742,0.380730400722792,0.531396083437093,1.51830286022115,83
164,REACTOME_MAPK6_MAPK4_SIGNALING,0.00877857358387366,0.0472115969571742,0.380730400722792,0.531132032759875,1.5175484156346,83
165,WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,0.00958864981206737,0.0512556917226874,0.380730400722792,-0.589711272561362,-1.57209057081775,54
166,REACTOME_REGULATION_OF_RAS_BY_GAPS,0.00995979384251446,0.0526995179164376,0.380730400722792,0.563259627063267,1.55623102781586,66
167,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,0.00997825339234136,0.0526995179164376,0.380730400722792,0.521758236208733,1.4812371904896,78
168,REACTOME_BASE_EXCISION_REPAIR,0.0102588625649636,0.0538590284660589,0.380730400722792,0.618987597962336,1.57616577353293,43
169,REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,0.0104992754792689,0.05479503534151,0.380730400722792,0.529628557580227,1.49666367274643,75
170,WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,0.0112664459213867,0.0584529723686062,0.380730400722792,-0.489670631047844,-1.42551855851956,102
171,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.0116032811737544,0.0598485028962069,0.380730400722792,0.509334214866231,1.4538535498054,84
172,REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,0.0118632666049789,0.0608337275906474,0.380730400722792,0.644073125953457,1.5904989395984,36
173,WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE,0.012579698707384,0.0641346489012296,0.380730400722792,0.547547040574159,1.51559961023485,67
174,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,0.0128950500841554,0.0653645642196844,0.380730400722792,-0.48600887553962,-1.41868344558981,104
175,REACTOME_DNA_DAMAGE_BYPASS,0.0131126880602593,0.066087947823707,0.380730400722792,0.620681203719886,1.59380143947909,44
176,REACTOME_CYTOPROTECTION_BY_HMOX1,0.0133730075980757,0.0670170039858113,0.380730400722792,0.479072588034574,1.41808744465802,110
